structure,connected,edge_count,total_w1_distance_km,total_composite_cost,bridge_count,max_degree,average_shortest_path_km,diameter_km,mean_distance_stretch,max_distance_stretch
CANDIDATE_GRAPH,True,1061,7244.976,458.87070119337136,0,51,8.7280734006734,21.99,1.0,1.0
CURRENT_02_CANDIDATE,True,84,258.87,22.61696358035382,34,11,17.182037710437708,38.977,2.320570339604073,54.74378881987577
MST,True,54,166.924,15.152947765204438,54,8,19.830917171717168,43.294,2.741542764500701,60.40217391304348
T2_SPANNER,True,233,1147.793,85.22395853583994,0,14,10.038581144781144,23.811999999999998,1.3080274221299246,17.545454545454543
DEGREE_LIMIT_3,True,54,156.466,15.388863425619286,54,3,24.62884983164983,59.384,3.2746662464865923,72.06055900621118
DEGREE_LIMIT_4,True,54,160.852,15.25115234734915,54,4,22.570694949494946,52.733999999999995,3.0663783220813956,69.29813664596273
