pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,structure
205,ST004__ST050,4,ST004,배곧중심상가,50,ST050,시흥한라3차아파트,2083.0,2.083,3.3375162940590184,0.4015265,0.4015265,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.795418286,PRELIMINARY_90M,0.14718801136852985,0.3133409161252583,0.4015265,0.09517573621717196,0.2288419726366129,CANDIDATE_GRAPH
1243,ST033__ST044,33,ST033,타원산업단지,44,ST044,경기과학기술대학교,1598.0,1.598,1.7010597777371803,0.123630586,0.123630586,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.331684145,PRELIMINARY_90M,0.1054172767203514,0.7940595896824632,0.123630586,0.018235185665018444,0.2293508891383684,CANDIDATE_GRAPH
534,ST011__ST050,11,ST011,배곧생명공원,50,ST050,시흥한라3차아파트,995.0,0.995,2.969355785245408,0.47264275,0.47264275,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.56995669,PRELIMINARY_90M,0.05348376539488416,0.4214902190171036,0.47264275,0.057768226631615675,0.2298432831863725,CANDIDATE_GRAPH
1224,ST032__ST047,32,ST032,희망공원,47,ST047,배곧2동행정복지센터,4347.0,4.347,3.0270902313068655,0.040631434,0.040631434,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.009713027,PRELIMINARY_90M,0.34217552321074846,0.4045303877888319,0.040631434,0.1307304946341744,0.2304349433766545,CANDIDATE_GRAPH
957,ST022__ST055,22,ST022,오이도박물관,55,ST055,해양생태과학관,1977.0,1.977,2.056726097058233,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.016046436,PRELIMINARY_90M,0.1380587374041857,0.6895805280345066,0.0,0.29769652038444466,0.23089114175603304,CANDIDATE_GRAPH
1226,ST032__ST049,32,ST032,희망공원,49,ST049,거북섬 웨이브파크 정문,4499.0,4.499,3.070219818149316,0.042639664,0.042639664,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.994963213,PRELIMINARY_90M,0.35526655757471365,0.3918608193822274,0.042639664,0.12828327604626832,0.2326178664345355,CANDIDATE_GRAPH
1147,ST029__ST042,29,ST029,관곡공원,42,ST042,시흥시청역,2654.0,2.654,2.6841941622399865,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.927478894,PRELIMINARY_90M,0.19636551545947808,0.5052581137294531,0.0,0.44891703427285934,0.23711710829763685,CANDIDATE_GRAPH
949,ST022__ST047,22,ST022,오이도박물관,47,ST047,배곧2동행정복지센터,4352.0,4.352,3.2556383357386656,0.040564469,0.040564469,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.850197274,PRELIMINARY_90M,0.34260614934114203,0.3373930452987237,0.040564469,0.2701796207113337,0.2380588216858445,CANDIDATE_GRAPH
466,ST010__ST026,10,ST010,은계호수공원,26,ST026,은계파크자이,1220.0,1.22,2.405341600576404,0.254629654,0.254629654,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.537591702,PRELIMINARY_90M,0.07286194126259582,0.5871726847699602,0.254629654,0.21831359945293588,0.23934066981384094,CANDIDATE_GRAPH
108,ST003__ST004,3,ST003,배곧한울공원,4,ST004,배곧중심상가,4685.0,4.685,2.9330495193194137,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.18657571,PRELIMINARY_90M,0.37128584962535527,0.432155396993838,0.0,0.16007470503198293,0.24039233252243936,CANDIDATE_GRAPH
