structure,connected,edge_count,total_w1_distance_km,total_composite_cost,bridge_count,max_degree,average_shortest_path_km,diameter_km,mean_distance_stretch,max_distance_stretch,t
T1.25_SPANNER,True,989,6699.208,430.8626683972855,0,47,8.805325252525252,21.996,1.0545894541333531,17.545454545454543,1.25
T1.5_SPANNER,True,556,3495.871,227.2921702494559,0,33,9.354422222222222,22.340999999999998,1.1758035683851826,17.545454545454543,1.5
T2_SPANNER,True,269,1600.603,103.21670971191294,0,16,10.520701683501684,23.093,1.4749652265459383,22.777056277056275,2.0
T2.5_SPANNER,True,137,733.632,49.49213147091366,0,11,12.566216161616161,26.269000000000002,1.8656845857012487,38.05347593582888,2.5
T3_SPANNER,True,96,466.172,33.10487272049858,2,10,14.046867340067339,28.487,2.0979785099254227,42.29679144385027,3.0
