structure,connected,edge_count,total_w1_distance_km,total_composite_cost,bridge_count,max_degree,average_shortest_path_km,diameter_km,mean_distance_stretch,max_distance_stretch,scenario
MST,True,54,201.835,16.421528846164044,54,7,21.010404040404037,45.953,3.098038323092097,60.40217391304348,balanced
T2_SPANNER,True,270,1610.294,104.41385142648578,0,16,10.455151515151515,23.093,1.4734800666431305,22.777056277056275,balanced
DEGREE_LIMIT_3,True,54,198.157,16.82663792975941,54,3,28.140308417508418,65.956,4.101708437909879,77.11229946524064,balanced
MST,True,54,108.185,14.0228424013812,54,5,22.072972390572385,53.214999999999996,2.7246533707014953,75.1723602484472,distance_focus
T2_SPANNER,True,169,624.401,58.51151497026853,0,11,9.78546936026936,23.863999999999997,1.1496296724123802,6.522189349112425,distance_focus
DEGREE_LIMIT_3,True,54,108.276,14.125901726237139,54,3,22.402888888888885,54.714,2.780105998826511,74.28105590062113,distance_focus
MST,True,54,263.365,17.97259450143943,54,14,23.952907744107744,60.928999999999995,4.026817992496379,75.14983164983164,lane_focus
T2_SPANNER,True,241,1546.845,100.35388486547407,0,19,11.34419191919192,24.598999999999997,1.7002041352777064,36.18449197860962,lane_focus
DEGREE_LIMIT_3,True,54,266.652,18.823252107272168,54,3,38.517804713804715,90.31099999999998,6.127259291903897,100.58279220779221,lane_focus
MST,True,54,228.99,13.366445696195449,54,10,20.366610101010103,44.648,3.093378444218623,58.76086956521739,protection_focus
T2_SPANNER,True,216,1432.483,72.11436816520859,0,20,11.742230303030302,23.655,1.7912902162642845,39.2620320855615,protection_focus
DEGREE_LIMIT_3,True,54,244.289,14.944351943998958,54,3,29.976711111111108,74.28600000000002,4.850092554774892,101.75262054507336,protection_focus
MST,True,54,190.195,14.467469697434572,54,9,21.139880134680133,40.023,3.095417728406317,46.68971631205674,slope_focus
T2_SPANNER,True,230,1322.614,79.78020784011359,0,12,10.737125252525253,23.019,1.432799332679708,27.047619047619047,slope_focus
DEGREE_LIMIT_3,True,54,162.075,14.740665352146289,54,3,22.179531313131314,47.86200000000001,3.1487442924762035,51.15425531914894,slope_focus
