pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,selection_role
127,ST003__ST023,3,ST003,배곧한울공원,23,ST023,오이도역,4569.0,4.569,3.362496455886152,0.25196631,0.25196631,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.707990957,PRELIMINARY_90M,0.3612953234002239,0.3060028474757016,0.25196631,0.08067021196989801,0.2499836732114559,SCENARIO_MST
1243,ST033__ST044,33,ST033,타원산업단지,44,ST044,경기과학기술대학교,1598.0,1.598,1.7010597777371803,0.123630586,0.123630586,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.331684145,PRELIMINARY_90M,0.1054172767203514,0.7940595896824632,0.123630586,0.018235185665018444,0.26033565951695825,SCENARIO_MST
820,ST019__ST020,19,ST019,시화병원,20,ST020,시화공업단지[왼쪽부근],1979.0,1.979,2.8736363843131483,0.422822321,0.422822321,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548112375,PRELIMINARY_90M,0.13823098785634313,0.4496083529185587,0.422822321,0.054143922372044954,0.2662013960367367,SCENARIO_MST
784,ST018__ST020,18,ST018,정왕역,20,ST020,시화공업단지[왼쪽부근],1949.0,1.949,3.244027725944256,0.540858498,0.540858498,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.564911031,PRELIMINARY_90M,0.13564723107398158,0.34080372983808693,0.540858498,0.05693107502461671,0.2685601334841713,SCENARIO_MST
159,ST003__ST055,3,ST003,배곧한울공원,55,ST055,해양생태과학관,4683.0,4.683,2.979187730277081,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.085033623,PRELIMINARY_90M,0.3711135991731978,0.41860202765548005,0.0,0.30914254447354533,0.2747145428255558,SCENARIO_MST
1247,ST033__ST048,33,ST033,타원산업단지,48,ST048,정왕평생학습관 사거리,3608.0,3.608,2.731241808577759,0.220485387,0.220485387,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.925063471,PRELIMINARY_90M,0.2785289811385755,0.49143759242876095,0.220485387,0.11668584519647998,0.2767844514409541,SCENARIO_MST
466,ST010__ST026,10,ST010,은계호수공원,26,ST026,은계파크자이,1220.0,1.22,2.405341600576404,0.254629654,0.254629654,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.537591702,PRELIMINARY_90M,0.07286194126259582,0.5871726847699602,0.254629654,0.21831359945293588,0.283244469871373,SCENARIO_MST
1147,ST029__ST042,29,ST029,관곡공원,42,ST042,시흥시청역,2654.0,2.654,2.6841941622399865,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.927478894,PRELIMINARY_90M,0.19636551545947808,0.5052581137294531,0.0,0.44891703427285934,0.28763516586544763,SCENARIO_MST
1322,ST037__ST045,37,ST037,군자동행정복지센터,45,ST045,시흥중앙도서관,5556.0,5.556,3.4490973986733664,0.318446298,0.318446298,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.229092844,PRELIMINARY_90M,0.446300921539919,0.28056331398962786,0.318446298,0.16712894453827729,0.30310986951695607,SCENARIO_MST
1379,ST040__ST054,40,ST040,갯골생태공원,54,ST054,시흥 프리미엄 아울렛,5042.0,5.042,2.505555704817685,0.080180898,0.080180898,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.509985427,PRELIMINARY_90M,0.40203255533545773,0.5577342054812642,0.080180898,0.2137332983506408,0.3134202392918407,SCENARIO_MST
