pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,structure
1409,ST043__ST045,43,ST043,시흥종합버스터미널,45,ST045,시흥중앙도서관,671.0,0.671,3.1817228022763167,0.300402098,0.300402098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.425583211,PRELIMINARY_90M,0.055986649979140594,0.31429513573104634,0.31429513573104634,0.300402098,0.07093053516666667,0.1854036047192134,CANDIDATE_GRAPH
136,ST003__ST032,3,ST003,배곧한울공원,32,ST032,희망공원,2946.0,2.946,2.474419063810549,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.664390229,PRELIMINARY_90M,0.2458072590738423,0.40413526335350114,0.40413526335350114,0.0,0.11073170483333333,0.1901685568151692,CANDIDATE_GRAPH
259,ST005__ST054,5,ST005,배곧중·고등학교,54,ST054,시흥 프리미엄 아울렛,1508.0,1.508,1.711681176130996,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.623743217,PRELIMINARY_90M,0.12582394659991655,0.5842209483546189,0.5842209483546189,0.0,0.10395720283333333,0.2035005244469672,CANDIDATE_GRAPH
151,ST003__ST047,3,ST003,배곧한울공원,47,ST047,배곧2동행정복지센터,2142.0,2.142,2.998593533213879,0.082490603,0.082490603,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.45164868,PRELIMINARY_90M,0.17872340425531916,0.3334896807198155,0.3334896807198155,0.082490603,0.24194144666666664,0.2091612836604503,CANDIDATE_GRAPH
1242,ST033__ST043,33,ST033,타원산업단지,43,ST043,시흥종합버스터미널,2934.0,2.934,2.565523484039041,0.07531911,0.07531911,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.889229462,PRELIMINARY_90M,0.24480600750938675,0.3897839977771891,0.3897839977771891,0.07531911,0.14820491033333333,0.21452850640497728,CANDIDATE_GRAPH
1243,ST033__ST044,33,ST033,타원산업단지,44,ST044,경기과학기술대학교,1598.0,1.598,1.7010597777371803,0.123630586,0.123630586,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.331684145,PRELIMINARY_90M,0.13333333333333333,0.5878688174793252,0.5878688174793252,0.123630586,0.05528069083333333,0.22502835691149795,CANDIDATE_GRAPH
1224,ST032__ST047,32,ST032,희망공원,47,ST047,배곧2동행정복지센터,4347.0,4.347,3.0270902313068655,0.040631434,0.040631434,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.009713027,PRELIMINARY_90M,0.36270337922403006,0.33035024514887906,0.33035024514887906,0.040631434,0.16828550450000002,0.22549264071822728,CANDIDATE_GRAPH
1145,ST029__ST040,29,ST029,관곡공원,40,ST040,갯골생태공원,3173.0,3.173,2.6002442194967386,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.529257702,PRELIMINARY_90M,0.26474760116812684,0.38457926086402144,0.38457926086402144,0.0,0.25487628366666665,0.22605078642470372,CANDIDATE_GRAPH
1226,ST032__ST049,32,ST032,희망공원,49,ST049,거북섬 웨이브파크 정문,4499.0,4.499,3.070219818149316,0.042639664,0.042639664,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.994963213,PRELIMINARY_90M,0.37538589904046726,0.32570957756464014,0.32570957756464014,0.042639664,0.16582720216666666,0.22739058569294351,CANDIDATE_GRAPH
1448,ST046__ST054,46,ST046,배곧1동행정복지센터,54,ST054,시흥 프리미엄 아울렛,1087.0,1.087,2.0,0.198910149,0.198910149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.722410179,PRELIMINARY_90M,0.09069670421360033,0.5,0.5,0.198910149,0.1204016965,0.2275021374284001,CANDIDATE_GRAPH
