structure,connected,edge_count,total_w1_distance_km,total_composite_cost,bridge_count,max_degree,average_shortest_path_km,diameter_km,mean_distance_stretch,max_distance_stretch,t
T1.25_SPANNER,True,1381,13053.432,500.63534254250004,0,54,8.821610774410775,20.988,1.0894166117914035,17.545454545454543,1.25
T1.5_SPANNER,True,757,6415.333,254.220102786795,0,43,9.614773063973065,22.247,1.3268499506968159,19.614906832298136,1.5
T2_SPANNER,True,308,2341.892,98.18363327482707,0,21,11.168890235690235,22.585,1.7063809534046452,30.606951871657753,2.0
T2.5_SPANNER,True,139,888.61,40.909242752165405,5,18,13.554284175084176,29.238999999999997,2.0812518337999593,40.85828877005347,2.5
T3_SPANNER,True,97,563.367,26.928952568922675,6,16,15.213225589225589,32.314,2.322612531833865,43.66577540106952,3.0
