structure,connected,edge_count,total_w1_distance_km,total_composite_cost,bridge_count,max_degree,average_shortest_path_km,diameter_km,mean_distance_stretch,max_distance_stretch
CANDIDATE_GRAPH,True,1061,7244.976,468.61403365715597,0,51,8.7280734006734,21.99,1.0,1.0
CURRENT_03_CANDIDATE,True,84,309.354,24.117519576418797,36,12,17.096105050505052,37.907000000000004,2.4864884902010935,53.08229813664597
MST,True,54,201.835,16.421528846164044,54,7,21.010404040404037,45.953,3.098038323092097,60.40217391304348
T2_SPANNER,True,270,1610.294,104.41385142648578,0,16,10.455151515151515,23.093,1.4734800666431305,22.777056277056275
DEGREE_LIMIT_3,True,54,198.157,16.82663792975941,54,3,28.140308417508418,65.956,4.101708437909879,77.11229946524064
DEGREE_LIMIT_4,True,54,196.181,16.556497002782574,54,4,22.46914208754209,47.93600000000001,3.379385855189077,61.29347826086956
